CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2022-00043495,0 Block KENNEDY PLZ,06/03/2022 08:52:00 AM,6,2022,"Assault,Simple",Not Used,"Under Investigation, Offense Pending",0,GSion
2022-00041243,0 Block KENNEDY PLZ,05/27/2022 04:31:00 PM,5,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,3,GGenao
2022-00041243,0 Block KENNEDY PLZ,05/27/2022 04:31:00 PM,5,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,GGenao
2022-00040951,0 Block KENNEDY PLZ,05/26/2022 05:08:00 PM,5,2022,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,KHeron
2022-00039586,0 Block KENNEDY PLZ,05/22/2022 04:17:00 PM,5,2022,"Assault, Simple",11-5-1,ASSAULT W/ INTENT TO COMMIT A FELONY - MINOR INJURY,1,JHeeder
2022-00037713,0 Block KENNEDY PLZ,05/16/2022 07:40:00 PM,5,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MRoman
2022-00036987,0 Block KENNEDY PLZ,05/14/2022 07:06:00 PM,5,2022,Disturbance,Not Used,No Violations,0,GGenao
2022-00034775,0 Block KENNEDY PLZ,05/07/2022 08:01:00 PM,5,2022,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,MRoman
2022-00032977,0 Block KENNEDY PLZ,05/01/2022 05:53:00 PM,5,2022,Disturbance,Not Used,No Violations,0,GGenao
2022-00032492,0 Block KENNEDY PLZ,04/30/2022 08:41:00 AM,4,2022,Property Damage,Not Used,No violations,0,KBass
2022-00032293,0 Block KENNEDY PLZ,04/29/2022 05:15:00 PM,4,2022,Disturbance,Not Used,No Violations,0,KHeron
2022-00031957,0 Block KENNEDY PLZ,04/28/2022 03:57:00 PM,4,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,GMorgan
2022-00031089,0 Block KENNEDY PLZ,04/25/2022 10:22:00 AM,4,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SMurnighan
2022-00029949,0 Block KENNEDY PLZ,04/21/2022 07:28:00 PM,4,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,3,KHeron
2022-00029292,0 Block KENNEDY PLZ,04/19/2022 12:09:00 PM,4,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,4,MFigueroa
2022-00027887,0 Block KENNEDY PLZ,04/14/2022 03:24:00 PM,4,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SKawejsza
2022-00027155,0 Block KENNEDY PLZ,04/12/2022 12:25:00 PM,4,2022,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,CHines
2022-00025784,0 Block KENNEDY PLZ,04/07/2022 06:01:00 PM,4,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JHeeder
2022-00025763,0 Block KENNEDY PLZ,04/07/2022 05:10:00 PM,4,2022,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,SMurnighan
2022-00025758,0 Block KENNEDY PLZ,04/07/2022 04:48:00 PM,4,2022,Request for Assistance,Not Used,No Violations,0,JHeeder
2022-00025475,0 Block KENNEDY PLZ,04/06/2022 04:07:00 PM,4,2022,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,NULL
2022-00025458,0 Block KENNEDY PLZ,04/06/2022 03:22:00 PM,4,2022,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,JMota
2022-00022980,0 Block KENNEDY PLZ,03/28/2022 03:35:00 PM,3,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,NULL
2022-00022784,0 Block KENNEDY PLZ,03/27/2022 09:08:00 PM,3,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,KHeron
2022-00021902,0 Block KENNEDY PLZ,03/24/2022 05:02:00 PM,3,2022,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,GSion
2022-00018390,0 Block KENNEDY PLZ,03/12/2022 12:55:00 PM,3,2022,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,RAbenante
2022-00018184,0 Block KENNEDY PLZ,03/11/2022 06:44:00 PM,3,2022,"Assault,Simple",Not Used,"Under Investigation, Offense Pending",0,JHeeder
2022-00017566,0 Block KENNEDY PLZ,03/09/2022 03:18:00 PM,3,2022,Assistance Rendered,Not Used,No Violations,0,NManfredi
2022-00015228,0 Block KENNEDY PLZ,02/28/2022 09:19:00 PM,2,2022,"Assault, Simple",11-5-5,ASSAULT OF POLICE OFFICERS AND OTHER OFFICIALS - MINOR INJURY,1,MRoman
2022-00015228,0 Block KENNEDY PLZ,02/28/2022 09:19:00 PM,2,2022,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,MRoman
2022-00015228,0 Block KENNEDY PLZ,02/28/2022 09:19:00 PM,2,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MRoman
2022-00013809,0 Block KENNEDY PLZ,02/23/2022 01:16:00 PM,2,2022,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,GSion
2022-00011696,0 Block KENNEDY PLZ,02/15/2022 03:10:00 PM,2,2022,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,RMorel
2022-00010409,0 Block KENNEDY PLZ,02/10/2022 07:45:00 PM,2,2022,Disturbance,Not Used,No Violations,0,JMota
2022-00010360,0 Block KENNEDY PLZ,02/10/2022 04:45:00 PM,2,2022,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,MRoman
2022-00006852,0 Block KENNEDY PLZ,01/28/2022 01:59:00 PM,1,2022,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,SMurnighan
2022-00006852,0 Block KENNEDY PLZ,01/28/2022 01:59:00 PM,1,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SMurnighan
2022-00006152,0 Block KENNEDY PLZ,01/25/2022 10:57:00 PM,1,2022,Request for Assistance,Not Used,No violations,0,ASantos
2022-00001247,0 Block KENNEDY PLZ,01/06/2022 11:46:00 AM,1,2022,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,JMontano
2021-00101174,0 Block KENNEDY PLZ,12/19/2021 08:31:00 PM,12,2021,Malicious Mischief,Not Used,No Violations,0,JHeeder
2021-00098831,0 Block KENNEDY PLZ,12/11/2021 08:50:00 PM,12,2021,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,SCooney
2022-00017869,100 Block LANGDON ST,03/10/2022 06:07:00 PM,3,2022,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,CCastagliuolo
2022-00021899,100 Block BROAD ST,03/24/2022 04:57:00 PM,3,2022,Municipal Code Violation,Sec. 16-3.A,Disorderly and indecent conduct A - Theatening,1,MMena-Torres
2022-00021219,100 Block BROAD ST,03/22/2022 04:21:00 AM,3,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MPonder
2022-00021219,100 Block BROAD ST,03/22/2022 04:21:00 AM,3,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MPonder
2022-00023145,100 Block BROAD ST,03/29/2022 06:59:00 AM,3,2022,House Fire,Not Used,No Violations,0,GSlater
2022-00024744,100 Block BROAD ST,04/03/2022 09:59:00 PM,4,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KMelfi
2022-00032543,100 Block BROAD ST,04/30/2022 01:05:00 PM,4,2022,Assistance Rendered,Not Used,No Violations,0,AMoore
2022-00040107,100 Block BROAD ST,05/24/2022 04:35:00 AM,5,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JDennis
2022-00003476,100 Block BROAD ST,01/15/2022 07:02:00 PM,1,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,KMelfi
2022-00009221,100 Block BROAD ST,02/06/2022 04:41:00 AM,2,2022,Dispersals,Not Used,No Violations,0,DWilson
2022-00035591,0 Block STADIUM RD,05/10/2022 02:49:58 PM,5,2022,Request for Assistance,Not Used,No violations,0,MGammino
2022-00008886,100 Block HARTFORD AVE,02/05/2022 01:48:00 AM,2,2022,Stolen Vehicle\Recovered,Not Used,No violations,0,BAucoin
2021-00503564,200 Block WESTMINSTER ST,12/14/2021 03:05:23 PM,12,2021,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia
2022-00000215,0 Block EMPIRE ST,01/01/2022 04:21:00 PM,1,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SBouyssou
2022-00000053,0 Block EMPIRE ST,01/01/2022 02:26:12 AM,1,2022,"Larceny, Other",11-44-2,MALICIOUS INJURY-BUILDINGS/FENCES/VEGATATION - ALL OTH LARCENY,1,MSullivan
2022-00024002,0 Block LESLIE DR,04/01/2022 11:07:36 AM,4,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,BCorcoran
2022-00034641,0 Block CADILLAC DR,05/07/2022 11:27:00 AM,5,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,2,KShea
2022-00500238,0 Block CADILLAC DR,12/10/2021 12:40:12 PM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,TPickering
2022-00011458,0 Block CADILLAC DR,02/14/2022 04:16:00 PM,2,2022,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2022-00011942,200 Block CHARLES ST,02/16/2022 12:54:38 PM,2,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,DWaters
2021-00101116,700 Block BRANCH AVE,12/19/2021 04:43:00 PM,12,2021,Breaking and Entering,Not Used,"Under Investigation, Offense Pending",0,TCalandra
2021-00101101,700 Block BRANCH AVE,12/19/2021 03:50:00 PM,12,2021,Breaking and Entering,Not Used,"Under Investigation, Offense Pending",0,TCalandra
2022-00029905,0 Block BRANCH AVE,04/21/2022 05:24:00 PM,4,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station
2022-00020754,400 Block CHARLES ST,03/20/2022 06:53:00 PM,3,2022,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,Central Station
2022-00500939,400 Block CHARLES ST,03/18/2022 10:31:48 PM,3,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DShields
2022-00017818,400 Block CHARLES ST,03/10/2022 03:32:00 PM,3,2022,Tresspassing,11-44-26,WILLFUL TRESPASS,1,SMarmas
2022-00016040,400 Block CHARLES ST,03/03/2022 10:14:00 PM,3,2022,Tresspassing,11-44-26,WILLFUL TRESPASS,1,IYousif
2021-00103028,400 Block CHARLES ST,12/27/2021 05:04:00 PM,12,2021,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,ALara
2022-00013612,400 Block CHARLES ST,02/22/2022 03:53:00 PM,2,2022,Trespass,Not Used,No Violations,0,SMarmas
2022-00001718,400 Block CHARLES ST,01/08/2022 01:48:38 PM,1,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,JMadeira
2022-00006391,400 Block CHARLES ST,01/26/2022 09:20:00 PM,1,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SMarmas
2022-00006430,800 Block ALLENS AVE,01/27/2022 12:30:00 AM,1,2022,Dispersals,Not Used,No violations,0,MAndrade
2021-00103155,800 Block ALLENS AVE,12/28/2021 01:19:00 AM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ESoloman
2021-00103149,800 Block ALLENS AVE,12/28/2021 12:57:00 AM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ESoloman
2021-00503695,800 Block ALLENS AVE,12/23/2021 10:14:00 AM,12,2021,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DShields
2021-00503697,800 Block ALLENS AVE,12/23/2021 09:14:30 AM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DShields
2021-00503639,800 Block ALLENS AVE,12/22/2021 10:53:33 PM,12,2021,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DShields
2021-00503642,800 Block ALLENS AVE,12/22/2021 08:51:06 PM,12,2021,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DShields
2021-00103815,800 Block ALLENS AVE,12/30/2021 06:47:00 PM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,2,KShea
2021-00103815,800 Block ALLENS AVE,12/30/2021 06:47:00 PM,12,2021,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KShea
2021-00103815,800 Block ALLENS AVE,12/30/2021 06:47:00 PM,12,2021,Traffic Violation,31-9-3,Injuring or Tampering with Vehicles,2,KShea
2021-00103815,800 Block ALLENS AVE,12/30/2021 06:47:00 PM,12,2021,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,KShea
2021-00103815,800 Block ALLENS AVE,12/30/2021 06:47:00 PM,12,2021,RI Statute Violation,11-1-6,CONSPIRACY - ALL OTH OFFENSE,1,KShea
2021-00100870,800 Block ALLENS AVE,12/18/2021 08:10:00 PM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NManfredi
2021-00503590,800 Block ALLENS AVE,12/17/2021 02:51:13 AM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia
2021-00503575,800 Block ALLENS AVE,12/16/2021 12:16:18 AM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia
2022-00019796,800 Block ALLENS AVE,03/17/2022 09:33:00 PM,3,2022,"Assault, Simple",11-5-10,ASSLT ON PERSONS OVER 60 CAUSING BODILY INJURY,1,NManfredi
2022-00022746,800 Block ALLENS AVE,03/27/2022 06:36:00 PM,3,2022,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,JPirolli
2022-00038247,1000 Block BROAD ST,05/18/2022 02:10:00 PM,5,2022,RI Statute Violation,11-9-13,DELIVERY OF TOBACCO TO MINORS,1,JDoucette
2021-00503610,0 Block RICHMOND SQ,12/20/2021 09:35:35 PM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DShields
2021-00503640,0 Block RICHMOND SQ,12/22/2021 10:51:08 PM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DShields
2021-00503638,0 Block RICHMOND SQ,12/22/2021 10:55:05 PM,12,2021,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DShields
2022-00035859,100 Block CORLISS ST,05/11/2022 02:44:00 PM,5,2022,Auto Fire,Not Used,No Violations,0,KHeron
2022-00501247,100 Block CORLISS ST,04/13/2022 03:09:40 PM,4,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,DShields
2022-00015322,100 Block W RIVER ST,03/01/2022 09:59:00 AM,3,2022,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,KPoplaski
2022-00500258,0 Block ROYAL LITTLE DR,12/28/2021 08:09:13 PM,12,2021,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,TPickering
2022-00026814,0 Block HOUGHTON ST,04/11/2022 06:06:00 AM,4,2022,Malicious Mischief,Not Used,No Violations,0,CGordillo Perez
2022-00042983,600 Block POTTERS AVE,06/01/2022 02:58:00 PM,6,2022,Auto Fire,Not Used,No Violations,0,JNajarian
2022-00034314,200 Block PITMAN ST,05/06/2022 07:54:00 AM,5,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,AHampton
2022-00034314,200 Block PITMAN ST,05/06/2022 07:54:00 AM,5,2022,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,AHampton
2022-00033734,100 Block FOUNTAIN ST,05/04/2022 01:02:00 PM,5,2022,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station
2022-00038874,0 Block PLAINFIELD ST,05/20/2022 06:53:00 PM,5,2022,Property Damage,Not Used,No Violations,0,MRousseau
2022-00026694,0 Block PLAINFIELD ST,04/10/2022 05:27:00 PM,4,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MPesola
2022-00026415,0 Block PLAINFIELD ST,04/09/2022 06:56:00 PM,4,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2022-00014289,0 Block PLAINFIELD ST,02/25/2022 08:15:21 AM,2,2022,Auto Towed,Not Used,Parking or MV Violation,0,JAndrade
2022-00500632,0 Block PLAINFIELD ST,02/18/2022 06:05:05 PM,2,2022,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,DShields
2022-00014308,300 Block VALLEY ST,02/25/2022 10:24:51 AM,2,2022,Request for Assistance,Not Used,No violations,0,AElie
2021-00100764,300 Block VALLEY ST,12/18/2021 09:56:00 AM,12,2021,Shots Fired,Not Used,No Violations,0,FPerez Brito
2022-00021551,300 Block VALLEY ST,03/23/2022 09:45:00 AM,3,2022,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,GScarcello
2022-00044606,300 Block VALLEY ST,06/06/2022 10:41:00 AM,6,2022,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,3,KPoplaski
2022-00017767,400 Block CHARLES ST,03/10/2022 12:02:00 PM,3,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,PCaminero
2021-00098608,400 Block CHARLES ST,12/11/2021 01:38:00 AM,12,2021,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MLabutti
2022-00000792,0 Block FOUNTAIN ST,01/04/2022 11:42:00 AM,1,2022,Malicious Mischief,Not Used,No Violations,0,JCryan
2022-00033717,500 Block VALLEY ST,05/04/2022 12:11:00 PM,5,2022,Larceny from Building,11-41-1,LARCENY/O $1500 - FROM BLD,1,GScarcello
2022-00029801,200 Block CRANSTON ST,04/21/2022 10:12:00 AM,4,2022,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,LFernandez
2022-00035881,1100 Block HOPE ST,05/11/2022 03:42:45 PM,5,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,MGammino
2022-00035181,1100 Block HOPE ST,05/09/2022 09:35:00 AM,5,2022,Property Damage,Not Used,No Violations,0,FMoody
2022-00002553,1100 Block HOPE ST,01/12/2022 08:53:27 AM,1,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,KWilliams
2022-00008702,1100 Block HOPE ST,02/04/2022 08:11:41 AM,2,2022,Property Damage,Not Used,No Violations,0,JDosreis
2022-00008757,100 Block ROYAL LITTLE DR,02/04/2022 01:26:07 PM,2,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,TManzotti
2022-00032892,700 Block CRANSTON ST,05/01/2022 01:40:00 PM,5,2022,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,MAddai
2022-00032892,700 Block CRANSTON ST,05/01/2022 01:40:00 PM,5,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,3,MAddai
2022-00037902,700 Block CRANSTON ST,05/17/2022 02:11:00 PM,5,2022,"Assault, Simple",11-5-1,ASSAULT W/ INTENT TO COMMIT A FELONY - MINOR INJURY,1,MCamardo
2022-00016770,700 Block CRANSTON ST,03/06/2022 02:32:00 PM,3,2022,Request for Assistance,Not Used,No Violations,0,Central Station
2022-00018721,700 Block CRANSTON ST,03/13/2022 07:34:00 PM,3,2022,Request for Assistance,Not Used,No Violations,0,MFigueroa
2022-00028197,700 Block CRANSTON ST,04/15/2022 03:16:00 PM,4,2022,Request for Assistance,Not Used,No violations,0,Central Station
2022-00023311,0 Block CATHEDRAL SQ,03/29/2022 08:04:00 PM,3,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MRoman
2022-00037356,0 Block CATHEDRAL SQ,05/15/2022 05:54:00 PM,5,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,MPesola
2022-00033809,0 Block CATHEDRAL SQ,05/04/2022 05:52:00 PM,5,2022,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,MRoman
2022-00011702,0 Block CATHEDRAL SQ,02/15/2022 02:44:00 PM,2,2022,Suspicious Person,Not Used,No Violations,0,ELane
2022-00004349,700 Block N MAIN ST,01/19/2022 09:24:38 AM,1,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,DWaters
2022-00004755,300 Block WASHINGTON ST,01/20/2022 08:09:00 PM,1,2022,Request for Assistance,Not Used,No Violations,0,FPerez Brito
2022-00005276,300 Block WASHINGTON ST,01/22/2022 04:09:00 PM,1,2022,Request for Assistance,Not Used,No Violations,0,KHeron
2022-00006879,300 Block WASHINGTON ST,01/28/2022 04:12:00 PM,1,2022,"Fraud, Swindle",19-9-29,BANK FRAUD,1,ELane
2022-00007285,300 Block WASHINGTON ST,01/30/2022 12:16:00 PM,1,2022,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,MCamardo
2022-00007166,300 Block WASHINGTON ST,01/29/2022 08:45:00 PM,1,2022,Fraud,Not Used,"Under Investigation, Offense Pending",0,NAyala
2022-00003034,300 Block WASHINGTON ST,01/14/2022 08:07:00 AM,1,2022,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,LMarroquin
2022-00003959,300 Block WASHINGTON ST,01/17/2022 05:32:00 PM,1,2022,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,JPalmer
2022-00002477,300 Block WASHINGTON ST,01/11/2022 06:44:00 PM,1,2022,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,JHeeder
2022-00002446,300 Block WASHINGTON ST,01/11/2022 04:44:00 PM,1,2022,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,JPalmer
2022-00009692,300 Block WASHINGTON ST,02/08/2022 01:57:00 AM,2,2022,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,LRagosta
2022-00009505,300 Block WASHINGTON ST,02/07/2022 09:45:00 AM,2,2022,Forgery,11-17-1,FORGERY AND COUNTERFEITING IN GENERAL,1,GSlater
2022-00500460,300 Block WASHINGTON ST,02/02/2022 10:15:31 AM,2,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,TPickering
2022-00010663,300 Block WASHINGTON ST,02/11/2022 06:22:00 PM,2,2022,Request for Assistance,Not Used,No Violations,0,DO'Connell
2022-00010081,300 Block WASHINGTON ST,02/09/2022 04:31:00 PM,2,2022,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,LMarroquin
2022-00009775,300 Block WASHINGTON ST,02/08/2022 01:12:00 PM,2,2022,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,TBritto
2021-00100815,300 Block WASHINGTON ST,12/18/2021 04:08:00 PM,12,2021,Fraud,Not Used,"Under Investigation, Offense Pending",0,MAndrade
2021-00101459,300 Block WASHINGTON ST,12/20/2021 08:49:00 PM,12,2021,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,DSirignano
2021-00103524,300 Block WASHINGTON ST,12/29/2021 03:08:00 PM,12,2021,Suspicious Person,Not Used,No Violations,0,VLopez
2022-00000686,300 Block WASHINGTON ST,01/03/2022 09:11:00 PM,1,2022,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,LMarroquin
2021-00102226,300 Block WASHINGTON ST,12/23/2021 08:26:00 PM,12,2021,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,SLafferty
2022-00034521,300 Block WASHINGTON ST,05/06/2022 11:03:00 PM,5,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SFernandez
2022-00032927,300 Block WASHINGTON ST,05/01/2022 03:30:00 PM,5,2022,Disturbance,Not Used,No Violations,0,ELane
2022-00035505,300 Block WASHINGTON ST,05/09/2022 08:51:00 AM,5,2022,Suspicious Person,Not Used,No Violations,0,NULL
2022-00035171,300 Block WASHINGTON ST,05/09/2022 08:27:00 AM,5,2022,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,PTesseris
2022-00034961,300 Block WASHINGTON ST,05/08/2022 10:53:00 AM,5,2022,Request for Assistance,Not Used,No Violations,0,Central Station
2022-00035780,300 Block WASHINGTON ST,05/11/2022 09:50:00 AM,5,2022,Request for Assistance,Not Used,No Violations,0,Central Station
2022-00036480,300 Block WASHINGTON ST,05/13/2022 10:55:00 AM,5,2022,Assistance Rendered,Not Used,No Violations,0,ALugo
2022-00032786,300 Block WASHINGTON ST,05/01/2022 02:32:00 AM,5,2022,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,HEspanol
2022-00032561,300 Block WASHINGTON ST,04/30/2022 01:56:00 PM,4,2022,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,CSimanski
2022-00031086,300 Block WASHINGTON ST,04/25/2022 10:16:00 AM,4,2022,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station
2022-00031254,300 Block WASHINGTON ST,04/25/2022 10:22:00 PM,4,2022,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,MRoman
2022-00031254,300 Block WASHINGTON ST,04/25/2022 10:22:00 PM,4,2022,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MRoman
2022-00030983,300 Block WASHINGTON ST,04/24/2022 10:59:00 PM,4,2022,Request for Assistance,Not Used,No Violations,0,FPerez Brito
2022-00037641,300 Block WASHINGTON ST,05/16/2022 03:45:00 PM,5,2022,Request for Assistance,Not Used,No Violations,0,DHernandez Martinez
2022-00036784,300 Block WASHINGTON ST,05/14/2022 04:49:00 AM,5,2022,Warrant/Capias,Not Used,No Violations,0,FPerez Brito
2022-00036618,300 Block WASHINGTON ST,05/13/2022 07:18:00 PM,5,2022,Larceny from Motor Vehicle,11-47-5.1,LARCENY OF FIREARM - FROM MV,1,SKawejsza
2022-00037861,300 Block WASHINGTON ST,05/17/2022 10:49:00 AM,5,2022,Assistance Rendered,Not Used,No violations,0,TBritto
